酒店名称	酒店类型	位置信息	起价	评分	点评数
哈尔滨北七尚品宾馆(中华巴洛克老道外文化区店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥332起	4.0	共67条评论
哈尔滨双禧快捷宾馆	经济型	近省医院地铁站 · 龙塔/会展中心	¥83起	4.6	共19条评论
哈尔滨金瓶宾馆	经济型	近江北大学城地铁站 · 江北大学城	¥152起	4.7	共31条评论
北北快捷宾馆(哈尔滨春申街店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥397起	4.4	共167条评论
哈尔滨忆美宾馆	经济型	近哈尔滨国际会展中心体育场 · 龙塔/会展中心	¥203起	4.4	共15条评论
哈尔滨金日快捷旅馆		近东北农业大学地铁站 · 龙塔/会展中心	¥61起	4.7	共23条评论
哈尔滨国力宾馆(理工大学学府路店)	经济型	近哈尔滨理工大学 · 江南大学城	¥92起	4.7	共64条评论
喜多旅馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥55起	4.4	共34条评论
陌澜宾馆	经济型	近双城区第三中学 · 双城	¥111起	4.3	共21条评论
雪谷冰雪之约客栈	经济型	近勇者家园 · 五常	¥141起	5.0	共40条评论
依兰龙泽宾馆	经济型	近建设街 · 依兰	¥91起	4.6	共132条评论
巴彦嘉悦商务酒店	经济型	近文华文化学校 · 巴彦	¥96起	4.8	共104条评论
雪谷戴斯酒店	经济型	近雪谷 · 五常	¥85起	4.8	共52条评论
通河存明酒店	经济型	近中央大街/隆达路(路口) · 通河	¥267起	4.9	共52条评论
宾县凯撒假日宾馆	经济型	近宾县人民政府 · 宾县	¥138起	4.8	共44条评论
亚布力凤祥农家院		近亚布力南站 · 尚志	¥907起	4.8	共9条评论
哈尔滨金浪主题商务宾馆	经济型	近阿城区 · 阿城商业区	¥137起	4.2	共39条评论
竞客电竞民宿(哈尔滨西站店)		近哈尔滨西站 · 哈西万达广场	¥430起	4.9	共17条评论
哈尔滨信诚阳光商务公寓	经济型	近江北大学城地铁站 · 江北大学城	¥138起	4.2	共47条评论
哈尔滨信诚阳光商务公寓	经济型	近江北大学城地铁站 · 江北大学城	¥138起	4.2	共47条评论
哈尔滨盛世悦合商务宾馆(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥436起	4.1	共90条评论
哈尔滨中意宾馆	经济型	近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥137起	4.8	共35条评论
哈尔滨宏南宾馆		近黑龙江工程学院 · 工程大学/哈尔滨东站	¥131起	4.5	共94条评论
东方豪庭智能酒店(宾县客运站店)	经济型	近宾县客运站 · 宾县	¥175起	4.7	共213条评论
汉庭酒店(哈尔滨五常步行街店)	经济型	近不夜城小区 · 五常	¥220起	4.8	共193条评论
雪谷锦绣客栈	经济型	近勇者家园 · 五常	¥243起	4.9	共205条评论
尚志奥德国际大酒店	经济型	近尚志市政府 · 尚志	¥297起	4.8	共331条评论
维也纳3好酒店(五常店)	舒适型	近友谊一路 · 五常	¥205起	4.7	共168条评论
五常灰鲸电竞酒店	经济型	近五常市建设大街步行街 · 五常	¥213起	4.8	共29条评论
延寿雅居宾馆	经济型	近延寿客运站-铁路车票代售所 · 延寿	¥143起	4.9	共99条评论
贵妃日租公寓(辽阳街1号分店)		近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥294起	4.9	共62条评论
延寿雅朵宾馆	经济型	近延寿夜市 · 延寿	¥112起	4.8	共38条评论
巴彦悦和商务酒店	经济型	近文华文化学校 · 巴彦	¥176起	4.7	共115条评论
宾县晨韵商务宾馆	经济型	近宾西客运站 · 宾县	¥88起	4.6	共34条评论
尚志春天假日宾馆	经济型	近苏杭名都 · 尚志	¥144起	4.8	共80条评论
美禾之家公寓(中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥919起	4.9	共38条评论
诚信洗浴民宿	经济型	近哈尔滨市阿城区第一中学 · 阿城商业区	¥70起	4.9	共31条评论
玫瑰湾宾馆(哈尔滨群力医大一店)	经济型	近哈尔滨医科大学附属第一医院(群力院区) · 群力新区	¥172起	4.8	共34条评论
哈尔滨宜佳宾馆	经济型	近哈尔滨医科大学附属第一医院(群力院区) · 群力新区	¥112起	4.8	共5条评论
悠家民宿(哈尔滨冰雪大世界融创乐园店)	经济型	近世茂大道 · 冰雪大世界/太阳岛	¥335起	4.9	共115条评论
金特宾馆(哈尔滨南新街店)		近哈尔滨文化公园 · 道外巴洛克	¥131起	4.9	共16条评论
哈尔滨万吉宾馆	经济型	近万达广场(哈东店) · 哈东万达广场	¥217起	4.8	共25条评论
千禧酒店式公寓(哈尔滨太阳岛冰雪大世界店)	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥175起	4.8	共59条评论
哈尔滨秀峰商务酒店	经济型	近先锋路 · 工程大学/哈尔滨东站	¥424起	4.4	共24条评论
米乐民宿	经济型	近中华巴洛克风情街 · 道外巴洛克	¥468起	4.6	共11条评论
哈工大招待所(哈工大地铁站二店)	经济型	近哈尔滨工业大学 · 江南大学城	¥284起	4.7	共91条评论
哈尔滨宏宇时尚宾馆		近龙川路地铁站 · 冰雪大世界/太阳岛	¥80起	4.3	共54条评论
哈尔滨寓见sweet公寓	经济型	近江北大学城地铁站 · 江北大学城	¥142起	4.9	共17条评论
哈尔滨金苹果快捷宾馆		近哈尔滨东站 · 工程大学/哈尔滨东站	¥68起	4.8	共114条评论
永泰宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥185起	4.9	共368条评论
哈尔滨双城瑞宝宾馆		近哈尔滨市双城区人民政府 · 双城	¥58起	4.9	共34条评论
祺麟公寓(哈尔滨理工大学店)	经济型	近黑龙江大学 · 江南大学城	¥204起	4.8	共21条评论
沃晟商务会馆	经济型	近黑龙江东方学院 · 平房区政府	¥184起	5.0	共15条评论
XY精选民宿(冰雪大世界店)	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥464起	4.9	共33条评论
哈尔滨辛胜快捷宾馆	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥121起	4.7	共156条评论
哈尔滨宾鹏雅居酒店式公寓	经济型	近群力大道 · 群力新区	¥165起	5.0	共16条评论
天天宾馆(哈尔滨东北林业大学店)	经济型	近黑龙江中医药大学附属第一医院 · 江南大学城	¥173起	4.4	共50条评论
哈尔滨轻呈精品公寓	经济型	近远大购物中心(群力店) · 群力新区	¥254起	4.8	共15条评论
哈尔滨泊庭快捷宾馆(埃德蒙顿路凯德广场店)	经济型	近凯德广场(埃德蒙顿路店) · 群力新区	¥150起	4.6	共10条评论
哈尔滨泊庭快捷宾馆(埃德蒙顿路凯德广场店)	经济型	近凯德广场(埃德蒙顿路店) · 群力新区	¥150起	4.6	共10条评论
哈尔滨卓琳酒店	高档型	近气象台地铁站 · 哈东万达广场	¥470起	4.3	共41条评论
哈尔滨双城金街商务酒店(北二道街店)	经济型	近双城区第三中学 · 双城	¥70起	4.8	共145条评论
路客家公寓(哈尔滨会展中心店)	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥287起	4.8	共77条评论
哈尔滨钉宝宝电竞酒店	经济型	近哈西大街地铁站 · 哈西万达广场	¥444起	4.9	共825条评论
哈尔滨锦程精品酒店	经济型	近哈尔滨科学技术职业学院 · 阿城商业区	¥164起	4.8	共186条评论
哈尔滨沐心影音公寓(理工大学店)	经济型	近黑龙江大学 · 江南大学城	¥294起	4.9	共86条评论
惠客酒店(哈尔滨解放大街店)	经济型	近印象城 · 阿城商业区	¥88起	4.8	共70条评论
哈尔滨二姐家庭旅店	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥60起	4.8	共9条评论
哈尔滨和盛宾馆	经济型	近哈尔滨站 · 道外巴洛克	¥188起	4.8	共12条评论
浪漫鑫蓝主题宾馆(哈尔滨西站万达广场店)	经济型	近金域蓝城3期深蓝杰座 · 哈西万达广场	¥169起	4.6	共24条评论
盛和甄选·酒店公寓(哈尔滨金融学院店)	经济型	近哈尔滨金融学院 · 龙塔/会展中心	¥365起	4.8	共46条评论
哈尔滨不乏生活民宿	经济型	哈尔滨阿城区吉兴林场(金龙山景区附近)	¥824起	4.8	共28条评论
德翰酒店(哈尔滨冰雪大世界融创乐园店)	经济型	近地中海阳光 · 冰雪大世界/太阳岛	¥256起	4.8	共39条评论
旭日升快捷宾馆(哈尔滨阿城区印象城店)	经济型	近印象城 · 阿城商业区	¥114起	4.7	共150条评论
野莉民宿(北马路1号分店)		近中华巴洛克风情街 · 道外巴洛克	¥528起	4.6	共9条评论
哈尔滨旺龙休闲宾馆松北商业大学冰雪大世界店	经济型	近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛	¥153起	4.1	共6条评论
五叶草精品酒店(哈尔滨哈西万达广场店)	舒适型	近万达广场(哈尔滨哈西店) · 哈西万达广场	¥409起	4.7	共71条评论
哈尔滨龙嘉公寓	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥195起	4.9	共30条评论
哈尔滨斯堡莱登度假酒店	高档型	近银泰城 · 群力新区	¥817起	4.5	共188条评论
哈尔滨斯堡莱登度假酒店	高档型	近银泰城 · 群力新区	¥817起	4.5	共188条评论
鑫苑宾馆(哈尔滨福园店)	经济型	近民生尚都 · 群力新区	¥53起	4.9	共7条评论
暖居民宿(哈尔滨冰雪大世界融创乐园店)	经济型	近地中海阳光 · 冰雪大世界/太阳岛	¥378起	4.8	共31条评论
哈尔滨盛鑫源商务酒店	舒适型	近哈尔滨铁道职业技术学院 · 平房区政府	¥231起	4.8	共7条评论
哈尔滨鸿源假日宾馆	经济型	近先富小学校 · 太平国际机场地区	¥255起	5.0	共109条评论
哈尔滨双君旅店		近工人文化宫地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥71起	4.3	共8条评论
小欢喜哈尔滨公寓(长江路2号分店)		近哈尔滨国际会展中心 · 龙塔/会展中心	¥202起	4.8	共31条评论
爱情公寓(哈尔滨万达城店)	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥270起	4.9	共58条评论
易居宾馆(哈尔滨中央大街地铁站店)	舒适型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥396起	4.7	共87条评论
哈尔滨途家公寓	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥179起	4.7	共5条评论
兄弟宾馆(哈尔滨哈东站地铁站店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥132起	4.5	共56条评论
哈尔滨红秀旅店(医大二院店)		近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥126起	4.9	共46条评论
蓝梦公寓(黑龙江大学哈尔滨学院店)	经济型	近哈尔滨医科大学 · 江南大学城	¥96起	4.9	共28条评论
哈尔滨华清池酒店	舒适型	近建国公园 · 群力新区	¥692起	4.6	共5条评论
哈尔滨喜洋洋家庭公寓	经济型	近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区	¥68起	4.8	共6条评论
哈尔滨凯旋优品民宿	经济型	近东北林业大学 · 江南大学城	¥220起	4.6	共10条评论
哈尔滨晶鑫公寓	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥243起	4.8	共25条评论
哈尔滨宾悦酒店		近珠江路地铁站 · 龙塔/会展中心	¥519起	4.7	共54条评论
新宇航宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥273起	4.9	共122条评论
哈尔滨都市春天快捷宾馆	经济型	近中华巴洛克风情街 · 道外巴洛克	¥182起	4.6	共22条评论
哈尔滨鑫越家庭民宿		近哈尔滨西站 · 哈西万达广场	¥53起	4.8	共8条评论
哈尔滨晨光宾馆	经济型	近江北大学城地铁站 · 江北大学城	¥121起	4.7	共117条评论
哈尔滨双城Perfect柏悦·素电竞公寓	经济型	近双城区第三中学 · 双城	¥233起	4.9	共242条评论
哈尔滨德翰公寓(贝肯山店)	经济型	近银泰城 · 群力新区	¥376起	4.9	共23条评论
赛博电竞酒店	经济型	近印象城 · 阿城商业区	¥213起	5.0	共15条评论
哈尔滨超感觉主题宾馆		近江北大学城地铁站 · 江北大学城	¥132起	4.8	共32条评论
IDO主题公寓(哈西万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥441起	4.8	共8条评论
巨蟹座索菲亚店民宿(田地街分店)		近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥654起	4.7	共18条评论
哈尔滨万顺公寓		近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥205起	4.8	共15条评论
哈尔滨欣时代快捷宾馆	经济型	近哈尔滨西站 · 哈西万达广场	¥131起	4.6	共26条评论
哈尔滨广霞快捷宾馆	经济型	近世茂大道地铁站 · 冰雪大世界/太阳岛	¥100起	5.0	共6条评论
汇东时尚宾馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥80起	4.8	共15条评论
凤凰佳期快捷宾馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥204起	4.5	共73条评论
理想家庭主题公寓(新阳路分店)		近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥325起	4.8	共8条评论
星荟民宿	经济型	近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛	¥244起	4.9	共12条评论
哈尔滨都市驿站公寓	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥234起	4.6	共43条评论
CitySnug城市旅舍客栈(公滨路分店)		近珠江路地铁站 · 龙塔/会展中心	¥268起	4.8	共9条评论
双福旅店(哈尔滨东站店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥43起	4.5	共34条评论
情侣猫精宿公寓(景阳街4号分店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥442起	4.8	共65条评论
哈尔滨鑫苑快捷宾馆	经济型	近群力第五大道地铁站 · 群力新区	¥121起	5.0	共8条评论
好来屋旅馆(哈尔滨卓展店)		近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥203起	4.8	共86条评论
希岸美宿客栈(黑龙江大学医大三院店)	经济型	近哈尔滨医科大学附属肿瘤医院 · 江南大学城	¥244起	4.9	共55条评论
哈尔滨美日顺公寓		近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区	¥247起	4.8	共49条评论
广信木子公寓(东北亚大街5号分店)		近富力城 · 冰雪大世界/太阳岛	¥189起	4.7	共27条评论
元初寒舍寒舍酒店式公寓(机场路分店)		近群力家园 · 群力新区	¥193起	4.9	共76条评论
云朵拾光主题公寓	经济型	近黑龙江大学 · 江南大学城	¥212起	4.7	共6条评论
麦凯乐公寓(哈尔滨兆麟街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥774起	4.8	共126条评论
哈尔滨稻草人精品公寓	经济型	近万达滑雪场 · 冰雪大世界/太阳岛	¥172起	4.8	共9条评论
哈西公寓爱达壹号极简轻奢公寓民宿(哈西大街分店)		近哈西大街地铁站 · 哈西万达广场	¥306起	5.0	共14条评论
哈尔滨鑫豪特宾馆		近省医院地铁站 · 龙塔/会展中心	¥179起	4.7	共43条评论
哈尔滨百合宾馆	经济型	近江北大学城地铁站 · 江北大学城	¥91起	4.7	共29条评论
哈尔滨万达宜宣公寓	经济型	近省医院地铁站 · 龙塔/会展中心	¥254起	4.8	共8条评论
守候幸福民宿(哈尔滨志华商城店)	经济型	近江北大学城地铁站 · 江北大学城	¥49起	4.9	共7条评论
尚客优酒店(哈尔滨冰雪大世界店)	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥188起	4.3	共48条评论
哈尔滨心悦宾馆		近黑龙江省政府 · 江南大学城	¥192起	4.9	共70条评论
佳爱快捷旅馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥80起	4.7	共69条评论
联发招待所	经济型	近哈尔滨医科大学附属第一医院 · 工程大学/哈尔滨东站	¥84起	4.7	共10条评论
哈尔滨悦兴假日公寓	经济型	近万达广场(哈东店) · 哈东万达广场	¥175起	4.9	共52条评论
哈尔滨今生缘酒店式公寓	经济型	近黑龙江大学 · 江南大学城	¥138起	4.7	共22条评论
哈尔滨大语公寓	经济型	近医大二院地铁站 · 江南大学城	¥266起	5.0	共7条评论
云闪电竞公寓(哈尔滨理工大学店)	经济型	近黑龙江大学 · 江南大学城	¥338起	4.9	共44条评论
鸿泰宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥187起	4.7	共367条评论
哈尔滨禹瑶快捷宾馆	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥121起	4.9	共65条评论
昌龍宾馆(哈尔滨江北大学城店)		近江北大学城地铁站 · 江北大学城	¥56起	4.4	共37条评论
哈尔滨北药酒店	经济型	近金域蓝城3期深蓝杰座 · 哈西万达广场	¥223起	4.7	共34条评论
哈尔滨天赐源旅馆	经济型	近机场路/工农大街(路口) · 哈西万达广场	¥128起	4.9	共18条评论
明屿宾馆(哈尔滨哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥103起	4.6	共126条评论
哈尔滨鑫都旅馆	经济型	近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛	¥147起	4.9	共32条评论
哈尔滨春熙快捷宾馆	经济型	近中华巴洛克街区地铁站 · 道外巴洛克	¥192起	4.9	共23条评论
哈尔滨金京大厦宾馆(阿城客运站店)		近体育馆 · 阿城商业区	¥142起	4.7	共98条评论
哈尔滨星月宾馆(火车东站店)		近黑龙江工程学院 · 工程大学/哈尔滨东站	¥205起	4.7	共41条评论
哈尔滨如果宾馆		近哈尔滨医科大学附属肿瘤医院 · 江南大学城	¥174起	4.8	共47条评论
华驿精选酒店(哈尔滨中央大街富力江湾店)	三星级	近爱建路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥358起	4.5	共109条评论
巨幕影酒店(哈尔滨群力店)	经济型	近民生尚都 · 群力新区	¥172起	4.7	共58条评论
迦南宾馆(哈尔滨西站工农大街地铁站店)		近哈尔滨医科大学附属第一医院(群力院区) · 群力新区	¥282起	4.5	共43条评论
哈尔滨南岗华凯旅馆	经济型	近哈尔滨工业大学 · 江南大学城	¥68起	4.3	共17条评论
哈尔滨拾光里公寓	经济型	近黑龙江大学 · 江南大学城	¥274起	4.9	共10条评论
小刁家的民宿(恒大国际中心店)	经济型	近远大购物中心(群力店) · 群力新区	¥408起	4.9	共29条评论
富金时尚旅馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥52起	4.6	共97条评论
哈尔滨凯旋七号公馆	经济型	近东北林业大学 · 江南大学城	¥282起	4.6	共33条评论
泰元酒店	经济型	近金泰 · 阿城商业区	¥80起	4.7	共15条评论
哈尔滨尚金快捷宾馆	经济型	近圣索菲亚教堂 · 道外巴洛克	¥225起	4.7	共13条评论
哈尔滨三合商务宾馆	经济型	近香坊站 · 乐松广场/东北林业大学/香坊商业区	¥141起	4.7	共41条评论
汐悦精品哈市销量TOP1)民宿(太古街分店)		近中华巴洛克风情街 · 道外巴洛克	¥578起	4.9	共44条评论
哈尔滨白云宾馆	经济型	近先富小学校 · 太平国际机场地区	¥266起	4.9	共599条评论
哈尔滨魔力电竞日租公寓	经济型	近哈西万达广场 · 哈西万达广场	¥479起	4.8	共36条评论
哈尔滨后海宾馆	经济型	近黑龙江农垦职业学院 · 江北大学城	¥64起	4.5	共70条评论
哈尔滨天汇旅馆	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥162起	4.0	共13条评论
哈尔滨中维新天地宾馆	经济型	近会展中心地铁站 · 龙塔/会展中心	¥427起	4.9	共25条评论
鑫帆快捷宾馆	经济型	近哈尔滨工业大学 · 江南大学城	¥211起	4.7	共5条评论
哈尔滨岩朵民宿(金融学院店)	经济型	近哈尔滨金融学院 · 龙塔/会展中心	¥271起	4.9	共24条评论
哈尔滨香坊区旭昇旅店	经济型	近省医院地铁站 · 龙塔/会展中心	¥46起	4.7	共36条评论
悠冉公寓(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥240起	4.9	共27条评论
芭乐宾馆(肿瘤医院店)	经济型	近哈尔滨医科大学附属肿瘤医院 · 江南大学城	¥87起	4.9	共888条评论
华宇宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥126起	4.9	共42条评论
华利尔快捷宾馆	经济型	近宜家生活超市 · 工程大学/哈尔滨东站	¥135起	4.7	共19条评论
大盛日租公寓(哈尔滨哈西店)	经济型	近哈西万达广场 · 哈西万达广场	¥233起	4.8	共189条评论
哈尔滨金沙宾馆(工程大学店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥134起	4.5	共68条评论
在路上日租民宿(尚志大街分店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥513起	4.9	共132条评论
哈尔滨8090时钟旅馆	经济型	近珠江路地铁站 · 龙塔/会展中心	¥80起	4.6	共9条评论
乐居快捷宾馆(医大三院店)		近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区	¥152起	4.9	共135条评论
哈尔滨双龙时尚快捷旅馆		近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区	¥111起	4.1	共9条评论
季末假日公寓(哈西万达店)	经济型	近哈西大街地铁站 · 哈西万达广场	¥337起	5.0	共8条评论
尤丽娅俄式公馆(哈尔滨火车站博物馆地铁站店)	经济型	近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院	¥2198起	4.9	共177条评论
哈尔滨韵江快捷宾馆		近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥279起	4.8	共33条评论
麦凯乐·宿港酒店公寓(哈尔滨中央大街店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥562起	4.8	共505条评论
悦冠影音酒店(哈尔滨西客站哈西万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥357起	4.8	共174条评论
万福众商务公寓(哈尔滨理工大学店)	经济型	近黑龙江大学 · 江南大学城	¥163起	4.8	共74条评论
哈尔滨民族舒适快捷宾馆	经济型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥246起	4.2	共30条评论
哈尔滨宾航宾馆(太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥123起	5.0	共9条评论
哈尔滨道里华谊宾馆		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥274起	4.1	共48条评论
罗曼酒店(哈尔滨西站万达广场店)	舒适型	近哈西万达广场 · 哈西万达广场	¥492起	4.7	共98条评论
哈尔滨睿都民宿	经济型	近哈尔滨铁道职业技术学院 · 平房区政府	¥144起	4.9	共35条评论
凯航公寓(松北融创乐园店)	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥205起	4.7	共14条评论
滨航宾馆(哈尔滨国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥499起	4.8	共97条评论
哈尔滨香树湾宾馆(冰雪大世界店)	经济型	近哈医大四院(松北分院) · 冰雪大世界/太阳岛	¥141起	4.6	共47条评论
哈尔滨伽勒酒店式精品公寓	经济型	近万达广场(哈尔滨哈西店) · 哈西万达广场	¥315起	4.7	共22条评论
苹果假日酒店(哈尔滨江北湿地公园店)	经济型	近利民开发区 · 呼兰站	¥102起	4.6	共53条评论
哈尔滨泰华时尚宾馆	经济型	近新阳路 · 江南大学城	¥252起	4.8	共16条评论
嘉捷酒店(哈尔滨会展中心店)	经济型	近红旗大街 · 龙塔/会展中心	¥345起	4.7	共289条评论
卓君·公寓(群力店)	经济型	近远大购物中心(群力店) · 群力新区	¥419起	4.9	共58条评论
哈尔滨时运佳休闲旅馆	经济型	近黑龙江大学 · 江南大学城	¥60起	4.5	共31条评论
哈尔滨锦江酒店式公寓	经济型	近远大购物中心(群力店) · 群力新区	¥265起	4.8	共25条评论
凯乐宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥109起	4.8	共92条评论
元素公寓(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥377起	4.9	共119条评论
予墨精品民宿(中医街分店)	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1123起	4.9	共63条评论
哈尔滨喜芝道宾馆	经济型	近哈尔滨西站 · 哈西万达广场	¥159起	4.8	共112条评论
哈尔滨航飞快捷宾馆		近731部队罪证遗址 · 平房区政府	¥117起	4.7	共9条评论
悦莱公寓 (哈西万达广场店)	经济型	近哈尔滨西站 · 哈西万达广场	¥314起	5.0	共6条评论
宏凯商务连锁宾馆(哈尔滨巴洛克店)	经济型	近南极市场 · 道外巴洛克	¥175起	4.5	共32条评论
哈尔滨汇润酒店(双城经济开发区店)	高档型	近兴安路	¥199起	4.8	共33条评论
哈尔滨盛鑫快捷宾馆		近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥185起	4.6	共42条评论
哈尔滨志鑫快捷宾馆		近731部队罪证遗址 · 平房区政府	¥111起	4.8	共31条评论
芭乐商务宾馆(哈尔滨哈西万达广场西客站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥143起	4.7	共111条评论
枫林晚民宿(丽江路分店)		近哈尔滨西站 · 哈西万达广场	¥252起	4.9	共20条评论
凯旋门酒店(哈尔滨西站万达广场店)	舒适型	近哈尔滨西站 · 哈西万达广场	¥714起	4.9	共191条评论
飞鱼民宿	经济型	近中华巴洛克风情街 · 道外巴洛克	¥1019起	4.8	共6条评论
金芒果快捷宾馆(哈尔滨学府凯德广场师大夜市店)	经济型	近学府路地铁站 · 江南大学城	¥132起	4.7	共11条评论
哈尔滨群力远大苹果酒店式公寓	经济型	近远大购物中心(群力店) · 群力新区	¥230起	4.9	共169条评论
哈尔滨梦卓酒店式公寓	经济型	近西城红场 · 哈西万达广场	¥319起	4.9	共9条评论
哈尔滨红叶宾馆		近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥60起	5.0	共6条评论
哈尔滨德力快捷宾馆		近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛	¥104起	4.8	共22条评论
哈尔滨龙腾快捷宾馆	经济型	近哈尔滨西站 · 哈西万达广场	¥111起	4.5	共9条评论
润达快捷宾馆(哈尔滨西站店)	经济型	近哈尔滨西站 · 哈西万达广场	¥206起	4.8	共24条评论
哈尔滨景怡酒店	舒适型	近龙塔 · 龙塔/会展中心	¥366起	4.4	共257条评论
LittleM公寓(哈西大街3号分店)		近万达广场(哈尔滨哈西店) · 哈西万达广场	¥404起	4.9	共252条评论
忆宿家公寓(学子街分店)		近虎园 · 冰雪大世界/太阳岛	¥410起	5.0	共13条评论
北国假日公寓(哈尔滨中央大街店)	经济型	近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥335起	4.8	共172条评论
哈尔滨铂雅主题公寓	经济型	近哈西万达广场 · 哈西万达广场	¥573起	4.8	共26条评论
哈尔滨海浪花快捷旅馆	经济型	近黑龙江职业学院 · 双城	¥52起	5.0	共11条评论
哈尔滨拉雅宾馆	经济型	近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥90起	4.4	共25条评论
哈尔滨德隆商务宾馆		近印象城 · 阿城商业区	¥125起	4.8	共50条评论
哈尔滨温馨居快捷宾馆		近江北大学城地铁站 · 江北大学城	¥91起	4.8	共23条评论
哈尔滨一二小栈		近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥140起	4.7	共30条评论
欣家精品民宿(兴达路2号分店)		近哈尔滨西站 · 哈西万达广场	¥499起	4.9	共72条评论
