,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
842,魔方公寓(哈尔滨中央大街索菲亚教堂店),经济型,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥511起,4.9,共612条评论,¥511
843,夜色公寓(哈尔滨学院服装城店),经济型,近黑龙江大学 · 江南大学城,¥173起,4.9,共33条评论,¥173
844,禧龙宾馆(哈尔滨西五道街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥524起,4.2,共97条评论,¥524
845,哈尔滨金禹宾馆(工程学院店),经济型,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥291起,4.7,共41条评论,¥291
846,哈尔滨华瑞宾馆(四野广场店),经济型,近哈尔滨市双城区人民政府 · 双城,¥82起,4.9,共706条评论,¥82
847,迈典主题宾馆(哈尔滨道里店),经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥243起,4.1,共7条评论,¥243
848,哈尔滨墨菲自助式酒店,,近哈尔滨西站 · 哈西万达广场,¥400起,4.9,共68条评论,¥400
849,如意时尚公寓(哈尔滨学院黑龙江大学店),经济型,近黑龙江大学 · 江南大学城,¥121起,4.8,共22条评论,¥121
850,瑞祥旅店(哈尔滨南城名苑店),,近黑龙江民族职业学院 · 平房区政府,¥56起,4.2,共8条评论,¥56
851,哈尔滨多多公寓,,近群力大道 · 群力新区,¥256起,4.7,共8条评论,¥256
852,鹊格酒店(哈尔滨西站万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥674起,4.9,共246条评论,¥674
853,哈尔滨途美公寓,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥424起,4.6,共11条评论,¥424
854,屋舍阳光公寓(一面街分店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥322起,4.6,共15条评论,¥322
855,哈尔滨缤纷假日宾馆(红旗茂店),经济型,近731部队罪证遗址 · 平房区政府,¥213起,4.8,共25条评论,¥213
856,哈尔滨鑫诚宾馆(太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥117起,4.6,共79条评论,¥117
857,熊猫客栈(哈尔滨江北大学城店),,近江北大学城地铁站 · 江北大学城,¥132起,4.9,共20条评论,¥132
858,尚雅颐居宾馆(哈尔滨中央大街索菲亚教堂店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥571起,4.7,共391条评论,¥571
859,柏悦云酒店(哈尔滨西站哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥366起,4.8,共164条评论,¥366
860,哈尔滨江洪宾馆(中央大街防洪纪念塔店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥345起,4.2,共89条评论,¥345
861,鹊格酒店(哈尔滨群力银泰城店),经济型,近群力大道 · 群力新区,¥1011起,4.8,共73条评论,¥1011
862,飞鸟电竞酒店(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥549起,4.6,共69条评论,¥549
863,哈尔滨乐途民宿,经济型,近中华巴洛克风情街 · 道外巴洛克,¥468起,4.6,共36条评论,¥468
864,哈尔滨泰茂酒店,经济型,近哈尔滨工程大学 · 工程大学/哈尔滨东站,¥248起,4.4,共88条评论,¥248
865,哈尔滨禧年宾馆,经济型,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥111起,4.6,共22条评论,¥111
866,蔚蓝公寓(哈尔滨西站万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥433起,4.9,共379条评论,¥433
867,七彩假日酒店式公寓(哈尔滨服装城店),经济型,近黑龙江大学 · 江南大学城,¥242起,4.8,共125条评论,¥242
868,赫室主题宾馆(哈尔滨工农大街十四中店),,近王府井购物中心(哈尔滨店) · 群力新区,¥148起,4.8,共32条评论,¥148
869,夏都宾馆(哈尔滨师大夜市店),,近哈尔滨师大夜市 · 江南大学城,¥90起,4.7,共13条评论,¥90
870,天龙快捷宾馆(哈尔滨学院路店),经济型,近江北大学城地铁站 · 江北大学城,¥90起,4.7,共63条评论,¥90
871,哈尔滨悦鑫宾馆,经济型,近先富小学校 · 太平国际机场地区,¥127起,4.9,共88条评论,¥127
872,哈尔滨沐丰精选宾馆,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥349起,4.5,共48条评论,¥349
873,哈尔滨0451快捷宾馆,经济型,近万达广场(哈东店) · 哈东万达广场,¥87起,4.8,共34条评论,¥87
874,金特宾馆(哈尔滨玛克威店),经济型,近清真寺地铁站 · 道外巴洛克,¥124起,4.0,共21条评论,¥124
875,哈尔滨麦凯乐民宿,,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥612起,4.4,共6条评论,¥612
876,哈尔滨如霞酒店式公寓,经济型,近黑龙江大学 · 江南大学城,¥160起,4.8,共10条评论,¥160
877,民航空港宾馆(哈尔滨太平国际机场店),舒适型,近先富小学校 · 太平国际机场地区,¥498起,4.8,共300条评论,¥498
878,中兴快捷宾馆(哈尔滨哈西店),经济型,近哈尔滨西站 · 哈西万达广场,¥159起,4.8,共129条评论,¥159
879,哈尔滨中央大街公馆酒店(索菲亚教堂店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥604起,4.3,共57条评论,¥604
880,优美公寓(哈尔滨哈西高铁站店),经济型,近哈尔滨西站 · 哈西万达广场,¥244起,4.8,共168条评论,¥244
881,哈尔滨哈影宾馆,经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥210起,4.8,共78条评论,¥210
882,哈尔滨群力冰城公寓,经济型,近群力大道 · 群力新区,¥206起,4.7,共63条评论,¥206
883,瑞居酒店(恒大国际中心店)(群力第四大道分店),经济型,近远大购物中心(群力店) · 群力新区,¥292起,4.7,共132条评论,¥292
884,哈尔滨隐溪民宿,经济型,近哈尔滨西站 · 哈西万达广场,¥496起,4.9,共18条评论,¥496
885,百茂心宾馆(哈尔滨亚麻街店),经济型,近省政府地铁站 · 龙塔/会展中心,¥294起,4.7,共22条评论,¥294
886,哈尔滨红博宾馆(国际会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥311起,4.8,共152条评论,¥311
887,哈尔滨佳期似梦假日公寓,经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥325起,4.5,共46条评论,¥325
888,七彩快捷旅馆(哈尔滨肿瘤医院店),经济型,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥79起,4.7,共13条评论,¥79
889,哈尔滨慧金宾馆,经济型,近民生尚都 · 群力新区,¥95起,4.8,共5条评论,¥95
890,鸿顺缘宾馆(哈尔滨太平国际机场店),经济型,近金河旅游公园 · 太平国际机场地区,¥120起,4.9,共336条评论,¥120
891,哈尔滨港湾休闲宾馆(奔马汽配城店),经济型,近烟厂地铁站 · 工程大学/哈尔滨东站,¥237起,4.8,共21条评论,¥237
892,凯仕达公寓,经济型,近富力城 · 冰雪大世界/太阳岛,¥118起,4.9,共12条评论,¥118
893,铭宜宾馆(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥100起,4.4,共55条评论,¥100
894,DC精品主题公寓(哈尔滨西站万达广场店),舒适型,近哈尔滨西站 · 哈西万达广场,¥427起,4.8,共106条评论,¥427
895,宁悦宾馆,,近哈尔滨二四二医院 · 平房区政府,¥165起,4.9,共46条评论,¥165
896,鸿旭旅馆,经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥129起,4.7,共9条评论,¥129
897,哈尔滨冰城印象商务宾馆,经济型,近万达广场(哈尔滨哈西店) · 哈西万达广场,¥204起,4.6,共130条评论,¥204
898,哈尔滨静雅轩日租公寓,经济型,近江北大学城地铁站 · 江北大学城,¥94起,4.9,共13条评论,¥94
899,漪一太古里民宿(承德街分店),,近中华巴洛克风情街 · 道外巴洛克,¥294起,4.7,共9条评论,¥294
900,爱建非常男女103公寓(哈尔滨公路大桥店),,近卓展购物中心(哈尔滨店) · 中央大街/索菲亚大教堂/防洪纪念塔,¥203起,5.0,共10条评论,¥203
901,唯家新青年公寓(哈尔滨火车站店),,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥329起,4.8,共35条评论,¥329
902,哈尔滨逸轩酒店,经济型,近会展中心地铁站 · 龙塔/会展中心,¥383起,4.7,共27条评论,¥383
903,莫泰酒店(哈尔滨会展中心公滨路地铁站店),经济型,近珠江路地铁站 · 龙塔/会展中心,¥429起,4.8,共60条评论,¥429
904,哈尔滨凯旋思寓民宿,经济型,近东北林业大学 · 江南大学城,¥172起,4.9,共26条评论,¥172
905,北方航天宾馆(哈尔滨太平国际机场店),经济型,近太平镇人民政府 · 太平国际机场地区,¥153起,4.9,共188条评论,¥153
906,哈尔滨佳慧快捷宾馆,经济型,近哈尔滨工业大学 · 江南大学城,¥111起,4.8,共23条评论,¥111
907,欣谣暖居精品公寓(哈尔滨会展中心店),经济型,近东北农业大学 · 龙塔/会展中心,¥495起,4.9,共10条评论,¥495
908,艾朵品致民宿(融创茂店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥498起,5.0,共26条评论,¥498
909,驿居酒店(哈尔滨江北学院路滨才城东尚睿春店),舒适型,近黑龙江建筑职业技术学院 · 江北大学城,¥283起,4.9,共275条评论,¥283
910,哈尔滨瀚林电竞酒店,经济型,近哈达地铁站 · 医大二院/哈南站,¥213起,4.9,共78条评论,¥213
911,缘士家青年旅馆(哈尔滨民生路店),,近省政府地铁站 · 龙塔/会展中心,¥13起,4.9,共109条评论,¥13
912,锦尚宾馆(哈尔滨林业大学店),经济型,近东北林业大学 · 江南大学城,¥102起,4.5,共59条评论,¥102
913,民益快捷旅馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥91起,4.8,共105条评论,¥91
914,哈尔滨东北林业大学专家公寓,,近东北林业大学 · 江南大学城,¥345起,4.8,共14条评论,¥345
915,哈尔滨万鑫快捷旅馆,经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥112起,4.9,共46条评论,¥112
916,平越快捷宾馆,经济型,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥103起,4.6,共15条评论,¥103
917,滨海旅店(哈尔滨火车站店),,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥70起,4.8,共27条评论,¥70
918,曼哈顿公寓(哈尔滨中央大街索菲亚教堂店),经济型,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥503起,4.5,共142条评论,¥503
919,一生一世自助公寓(黑龙江大学理工大学店),经济型,近黑龙江大学 · 江南大学城,¥194起,4.7,共7条评论,¥194
920,哈尔滨金港湾旅店,经济型,近黑龙江农业工程职业学院(南岗校区) · 哈西万达广场,¥37起,4.6,共19条评论,¥37
921,优悦公寓(哈尔滨西站万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥396起,4.9,共203条评论,¥396
922,哈尔滨宝盛快捷宾馆,经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥58起,4.8,共12条评论,¥58
923,四海兴宾馆(哈尔滨师范大学店),经济型,近江北大学城地铁站 · 江北大学城,¥131起,4.9,共864条评论,¥131
924,哈尔滨芳华里宾馆,,近黑龙江东方学院 · 平房区政府,¥124起,4.7,共45条评论,¥124
925,哈尔滨七色海宾馆,经济型,近化工路与先锋路交叉口 · 工程大学/哈尔滨东站,¥86起,4.7,共13条评论,¥86
926,哈尔滨东大福成商务酒店,舒适型,近东北农业大学校史馆 · 龙塔/会展中心,¥394起,4.6,共113条评论,¥394
927,吉吉家酒店式公寓(哈西万达店),经济型,近哈尔滨西站地铁站 · 哈西万达广场,¥288起,5.0,共10条评论,¥288
928,哈尔滨雪洁宾馆,经济型,近哈尔滨市第四十五中学校,¥137起,4.6,共39条评论,¥137
929,哈尔滨凯特酒店(冰雪大世界黑科技大学店),经济型,近黑龙江科技大学 · 冰雪大世界/太阳岛,¥917起,4.7,共81条评论,¥917
930,金谷商务酒店(会展中心省政府店),高档型,近省政府地铁站 · 龙塔/会展中心,¥886起,4.7,共100条评论,¥886
931,惠航宾馆(哈尔滨太平国际机场店),经济型,近金河旅游公园 · 太平国际机场地区,¥109起,4.9,共160条评论,¥109
932,哈尔滨北七尚品宾馆(中华巴洛克老道外文化区店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥332起,4.0,共67条评论,¥332
933,哈尔滨双禧快捷宾馆,经济型,近省医院地铁站 · 龙塔/会展中心,¥83起,4.6,共19条评论,¥83
934,哈尔滨金瓶宾馆,经济型,近江北大学城地铁站 · 江北大学城,¥152起,4.7,共31条评论,¥152
935,北北快捷宾馆(哈尔滨春申街店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥397起,4.4,共167条评论,¥397
936,哈尔滨忆美宾馆,经济型,近哈尔滨国际会展中心体育场 · 龙塔/会展中心,¥203起,4.4,共15条评论,¥203
937,哈尔滨金日快捷旅馆,,近东北农业大学地铁站 · 龙塔/会展中心,¥61起,4.7,共23条评论,¥61
938,哈尔滨国力宾馆(理工大学学府路店),经济型,近哈尔滨理工大学 · 江南大学城,¥92起,4.7,共64条评论,¥92
939,喜多旅馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥55起,4.4,共34条评论,¥55
940,陌澜宾馆,经济型,近双城区第三中学 · 双城,¥111起,4.3,共21条评论,¥111
941,雪谷冰雪之约客栈,经济型,近勇者家园 · 五常,¥141起,5.0,共40条评论,¥141
942,依兰龙泽宾馆,经济型,近建设街 · 依兰,¥91起,4.6,共132条评论,¥91
943,巴彦嘉悦商务酒店,经济型,近文华文化学校 · 巴彦,¥96起,4.8,共104条评论,¥96
944,雪谷戴斯酒店,经济型,近雪谷 · 五常,¥85起,4.8,共52条评论,¥85
945,通河存明酒店,经济型,近中央大街/隆达路(路口) · 通河,¥267起,4.9,共52条评论,¥267
946,宾县凯撒假日宾馆,经济型,近宾县人民政府 · 宾县,¥138起,4.8,共44条评论,¥138
947,亚布力凤祥农家院,,近亚布力南站 · 尚志,¥907起,4.8,共9条评论,¥907
948,哈尔滨金浪主题商务宾馆,经济型,近阿城区 · 阿城商业区,¥137起,4.2,共39条评论,¥137
949,竞客电竞民宿(哈尔滨西站店),,近哈尔滨西站 · 哈西万达广场,¥430起,4.9,共17条评论,¥430
950,哈尔滨信诚阳光商务公寓,经济型,近江北大学城地铁站 · 江北大学城,¥138起,4.2,共47条评论,¥138
951,哈尔滨盛世悦合商务宾馆(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥436起,4.1,共90条评论,¥436
952,哈尔滨中意宾馆,经济型,近哈尔滨师范大学呼兰实验学校 · 呼兰站,¥137起,4.8,共35条评论,¥137
953,哈尔滨宏南宾馆,,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥131起,4.5,共94条评论,¥131
954,东方豪庭智能酒店(宾县客运站店),经济型,近宾县客运站 · 宾县,¥175起,4.7,共213条评论,¥175
955,汉庭酒店(哈尔滨五常步行街店),经济型,近不夜城小区 · 五常,¥220起,4.8,共193条评论,¥220
956,雪谷锦绣客栈,经济型,近勇者家园 · 五常,¥243起,4.9,共205条评论,¥243
957,尚志奥德国际大酒店,经济型,近尚志市政府 · 尚志,¥297起,4.8,共331条评论,¥297
958,维也纳3好酒店(五常店),舒适型,近友谊一路 · 五常,¥205起,4.7,共168条评论,¥205
959,五常灰鲸电竞酒店,经济型,近五常市建设大街步行街 · 五常,¥213起,4.8,共29条评论,¥213
960,延寿雅居宾馆,经济型,近延寿客运站-铁路车票代售所 · 延寿,¥143起,4.9,共99条评论,¥143
961,贵妃日租公寓(辽阳街1号分店),,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥294起,4.9,共62条评论,¥294
962,延寿雅朵宾馆,经济型,近延寿夜市 · 延寿,¥112起,4.8,共38条评论,¥112
963,巴彦悦和商务酒店,经济型,近文华文化学校 · 巴彦,¥176起,4.7,共115条评论,¥176
964,宾县晨韵商务宾馆,经济型,近宾西客运站 · 宾县,¥88起,4.6,共34条评论,¥88
965,尚志春天假日宾馆,经济型,近苏杭名都 · 尚志,¥144起,4.8,共80条评论,¥144
966,美禾之家公寓(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥919起,4.9,共38条评论,¥919
967,诚信洗浴民宿,经济型,近哈尔滨市阿城区第一中学 · 阿城商业区,¥70起,4.9,共31条评论,¥70
968,玫瑰湾宾馆(哈尔滨群力医大一店),经济型,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥172起,4.8,共34条评论,¥172
969,哈尔滨宜佳宾馆,经济型,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥112起,4.8,共5条评论,¥112
970,悠家民宿(哈尔滨冰雪大世界融创乐园店),经济型,近世茂大道 · 冰雪大世界/太阳岛,¥335起,4.9,共115条评论,¥335
971,金特宾馆(哈尔滨南新街店),,近哈尔滨文化公园 · 道外巴洛克,¥131起,4.9,共16条评论,¥131
972,哈尔滨万吉宾馆,经济型,近万达广场(哈东店) · 哈东万达广场,¥217起,4.8,共25条评论,¥217
973,千禧酒店式公寓(哈尔滨太阳岛冰雪大世界店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥175起,4.8,共59条评论,¥175
974,哈尔滨秀峰商务酒店,经济型,近先锋路 · 工程大学/哈尔滨东站,¥424起,4.4,共24条评论,¥424
975,米乐民宿,经济型,近中华巴洛克风情街 · 道外巴洛克,¥468起,4.6,共11条评论,¥468
976,哈工大招待所(哈工大地铁站二店),经济型,近哈尔滨工业大学 · 江南大学城,¥284起,4.7,共91条评论,¥284
977,哈尔滨宏宇时尚宾馆,,近龙川路地铁站 · 冰雪大世界/太阳岛,¥80起,4.3,共54条评论,¥80
978,哈尔滨寓见sweet公寓,经济型,近江北大学城地铁站 · 江北大学城,¥142起,4.9,共17条评论,¥142
979,哈尔滨金苹果快捷宾馆,,近哈尔滨东站 · 工程大学/哈尔滨东站,¥68起,4.8,共114条评论,¥68
980,永泰宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥185起,4.9,共368条评论,¥185
981,哈尔滨双城瑞宝宾馆,,近哈尔滨市双城区人民政府 · 双城,¥58起,4.9,共34条评论,¥58
982,祺麟公寓(哈尔滨理工大学店),经济型,近黑龙江大学 · 江南大学城,¥204起,4.8,共21条评论,¥204
983,沃晟商务会馆,经济型,近黑龙江东方学院 · 平房区政府,¥184起,5.0,共15条评论,¥184
984,XY精选民宿(冰雪大世界店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥464起,4.9,共33条评论,¥464
985,哈尔滨辛胜快捷宾馆,经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥121起,4.7,共156条评论,¥121
986,哈尔滨宾鹏雅居酒店式公寓,经济型,近群力大道 · 群力新区,¥165起,5.0,共16条评论,¥165
987,天天宾馆(哈尔滨东北林业大学店),经济型,近黑龙江中医药大学附属第一医院 · 江南大学城,¥173起,4.4,共50条评论,¥173
988,哈尔滨轻呈精品公寓,经济型,近远大购物中心(群力店) · 群力新区,¥254起,4.8,共15条评论,¥254
989,哈尔滨泊庭快捷宾馆(埃德蒙顿路凯德广场店),经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥150起,4.6,共10条评论,¥150
990,哈尔滨卓琳酒店,高档型,近气象台地铁站 · 哈东万达广场,¥470起,4.3,共41条评论,¥470
991,哈尔滨双城金街商务酒店(北二道街店),经济型,近双城区第三中学 · 双城,¥70起,4.8,共145条评论,¥70
992,路客家公寓(哈尔滨会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥287起,4.8,共77条评论,¥287
993,哈尔滨钉宝宝电竞酒店,经济型,近哈西大街地铁站 · 哈西万达广场,¥444起,4.9,共825条评论,¥444
994,哈尔滨锦程精品酒店,经济型,近哈尔滨科学技术职业学院 · 阿城商业区,¥164起,4.8,共186条评论,¥164
995,哈尔滨沐心影音公寓(理工大学店),经济型,近黑龙江大学 · 江南大学城,¥294起,4.9,共86条评论,¥294
996,惠客酒店(哈尔滨解放大街店),经济型,近印象城 · 阿城商业区,¥88起,4.8,共70条评论,¥88
997,哈尔滨二姐家庭旅店,经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥60起,4.8,共9条评论,¥60
998,哈尔滨和盛宾馆,经济型,近哈尔滨站 · 道外巴洛克,¥188起,4.8,共12条评论,¥188
999,浪漫鑫蓝主题宾馆(哈尔滨西站万达广场店),经济型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥169起,4.6,共24条评论,¥169
1000,盛和甄选·酒店公寓(哈尔滨金融学院店),经济型,近哈尔滨金融学院 · 龙塔/会展中心,¥365起,4.8,共46条评论,¥365
1001,惠航宾馆(哈尔滨太平国际机场店),经济型,近金河旅游公园 · 太平国际机场地区,¥109起,4.9,共160条评论,¥109
1002,哈尔滨北七尚品宾馆(中华巴洛克老道外文化区店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥332起,4.0,共67条评论,¥332
1003,哈尔滨双禧快捷宾馆,经济型,近省医院地铁站 · 龙塔/会展中心,¥83起,4.6,共19条评论,¥83
1004,哈尔滨金瓶宾馆,经济型,近江北大学城地铁站 · 江北大学城,¥152起,4.7,共31条评论,¥152
1005,北北快捷宾馆(哈尔滨春申街店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥397起,4.4,共167条评论,¥397
1006,哈尔滨忆美宾馆,经济型,近哈尔滨国际会展中心体育场 · 龙塔/会展中心,¥203起,4.4,共15条评论,¥203
1007,哈尔滨金日快捷旅馆,,近东北农业大学地铁站 · 龙塔/会展中心,¥61起,4.7,共23条评论,¥61
1008,哈尔滨国力宾馆(理工大学学府路店),经济型,近哈尔滨理工大学 · 江南大学城,¥92起,4.7,共64条评论,¥92
1009,喜多旅馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥55起,4.4,共34条评论,¥55
1010,陌澜宾馆,经济型,近双城区第三中学 · 双城,¥111起,4.3,共21条评论,¥111
1011,雪谷冰雪之约客栈,经济型,近勇者家园 · 五常,¥141起,5.0,共40条评论,¥141
1012,依兰龙泽宾馆,经济型,近建设街 · 依兰,¥91起,4.6,共132条评论,¥91
1013,巴彦嘉悦商务酒店,经济型,近文华文化学校 · 巴彦,¥96起,4.8,共104条评论,¥96
1014,雪谷戴斯酒店,经济型,近雪谷 · 五常,¥85起,4.8,共52条评论,¥85
1015,通河存明酒店,经济型,近中央大街/隆达路(路口) · 通河,¥267起,4.9,共52条评论,¥267
1016,宾县凯撒假日宾馆,经济型,近宾县人民政府 · 宾县,¥138起,4.8,共44条评论,¥138
1017,亚布力凤祥农家院,,近亚布力南站 · 尚志,¥907起,4.8,共9条评论,¥907
1018,哈尔滨金浪主题商务宾馆,经济型,近阿城区 · 阿城商业区,¥137起,4.2,共39条评论,¥137
1019,竞客电竞民宿(哈尔滨西站店),,近哈尔滨西站 · 哈西万达广场,¥430起,4.9,共17条评论,¥430
1020,哈尔滨信诚阳光商务公寓,经济型,近江北大学城地铁站 · 江北大学城,¥138起,4.2,共47条评论,¥138
1021,哈尔滨信诚阳光商务公寓,经济型,近江北大学城地铁站 · 江北大学城,¥138起,4.2,共47条评论,¥138
1022,哈尔滨盛世悦合商务宾馆(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥436起,4.1,共90条评论,¥436
1023,哈尔滨中意宾馆,经济型,近哈尔滨师范大学呼兰实验学校 · 呼兰站,¥137起,4.8,共35条评论,¥137
1024,哈尔滨宏南宾馆,,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥131起,4.5,共94条评论,¥131
1025,东方豪庭智能酒店(宾县客运站店),经济型,近宾县客运站 · 宾县,¥175起,4.7,共213条评论,¥175
1026,汉庭酒店(哈尔滨五常步行街店),经济型,近不夜城小区 · 五常,¥220起,4.8,共193条评论,¥220
1027,雪谷锦绣客栈,经济型,近勇者家园 · 五常,¥243起,4.9,共205条评论,¥243
1028,尚志奥德国际大酒店,经济型,近尚志市政府 · 尚志,¥297起,4.8,共331条评论,¥297
1029,维也纳3好酒店(五常店),舒适型,近友谊一路 · 五常,¥205起,4.7,共168条评论,¥205
1030,五常灰鲸电竞酒店,经济型,近五常市建设大街步行街 · 五常,¥213起,4.8,共29条评论,¥213
1031,延寿雅居宾馆,经济型,近延寿客运站-铁路车票代售所 · 延寿,¥143起,4.9,共99条评论,¥143
1032,贵妃日租公寓(辽阳街1号分店),,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥294起,4.9,共62条评论,¥294
1033,延寿雅朵宾馆,经济型,近延寿夜市 · 延寿,¥112起,4.8,共38条评论,¥112
1034,巴彦悦和商务酒店,经济型,近文华文化学校 · 巴彦,¥176起,4.7,共115条评论,¥176
1035,宾县晨韵商务宾馆,经济型,近宾西客运站 · 宾县,¥88起,4.6,共34条评论,¥88
1036,尚志春天假日宾馆,经济型,近苏杭名都 · 尚志,¥144起,4.8,共80条评论,¥144
1037,美禾之家公寓(中央大街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥919起,4.9,共38条评论,¥919
1038,诚信洗浴民宿,经济型,近哈尔滨市阿城区第一中学 · 阿城商业区,¥70起,4.9,共31条评论,¥70
1039,玫瑰湾宾馆(哈尔滨群力医大一店),经济型,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥172起,4.8,共34条评论,¥172
1040,哈尔滨宜佳宾馆,经济型,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥112起,4.8,共5条评论,¥112
1041,悠家民宿(哈尔滨冰雪大世界融创乐园店),经济型,近世茂大道 · 冰雪大世界/太阳岛,¥335起,4.9,共115条评论,¥335
1042,金特宾馆(哈尔滨南新街店),,近哈尔滨文化公园 · 道外巴洛克,¥131起,4.9,共16条评论,¥131
1043,哈尔滨万吉宾馆,经济型,近万达广场(哈东店) · 哈东万达广场,¥217起,4.8,共25条评论,¥217
1044,千禧酒店式公寓(哈尔滨太阳岛冰雪大世界店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥175起,4.8,共59条评论,¥175
1045,哈尔滨秀峰商务酒店,经济型,近先锋路 · 工程大学/哈尔滨东站,¥424起,4.4,共24条评论,¥424
1046,米乐民宿,经济型,近中华巴洛克风情街 · 道外巴洛克,¥468起,4.6,共11条评论,¥468
1047,哈工大招待所(哈工大地铁站二店),经济型,近哈尔滨工业大学 · 江南大学城,¥284起,4.7,共91条评论,¥284
1048,哈尔滨宏宇时尚宾馆,,近龙川路地铁站 · 冰雪大世界/太阳岛,¥80起,4.3,共54条评论,¥80
1049,哈尔滨寓见sweet公寓,经济型,近江北大学城地铁站 · 江北大学城,¥142起,4.9,共17条评论,¥142
1050,哈尔滨金苹果快捷宾馆,,近哈尔滨东站 · 工程大学/哈尔滨东站,¥68起,4.8,共114条评论,¥68
1051,永泰宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥185起,4.9,共368条评论,¥185
1052,哈尔滨双城瑞宝宾馆,,近哈尔滨市双城区人民政府 · 双城,¥58起,4.9,共34条评论,¥58
1053,祺麟公寓(哈尔滨理工大学店),经济型,近黑龙江大学 · 江南大学城,¥204起,4.8,共21条评论,¥204
1054,沃晟商务会馆,经济型,近黑龙江东方学院 · 平房区政府,¥184起,5.0,共15条评论,¥184
1055,XY精选民宿(冰雪大世界店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥464起,4.9,共33条评论,¥464
