编号,酒店名称,最热评价,情感倾向,备注
489,涛姐新宿(哈尔滨江畔路江月雅集夜市店),"距离各个景点比较近,步行前往也方便。贴着松花江,去哪里都很方便,房间很暖和",正向,
490,家友客栈(哈尔滨火车站中央大街店),"很干净,晚上睡得很安静。离哈站北广场很近,走过来5-6分钟",正向,
491,哈尔滨振宁酒店(中央大街地铁站店),"去吃的地方什分方便;坐公交很方便。小麻花、茶水等提供,做的真很到位了",正向,
492,禧龙宾馆(哈尔滨建国店),隔音也好。酒店虽然比较旧,负向,
493,7天酒店(哈尔滨会展中心禧龙大市场店),"位置交通。卫生各方面还是不错的,服务也很热情",正向,
494,哈尔滨摩尔空间电竞酒店(哈西万达广场店),"条件很好,服务满意,竟然还有智能马桶",负向,
495,哈尔滨金瓶宾馆,"酒店太棒了,超过了我的想象。第二次住了,还算满意",正向,
496,哈尔滨双城金街商务酒店(北二道街店),"酒店环境非常好,床也很软,卫生也很好。房间很大,晚上很安静",正向,
497,哈尔滨双盛赛福商务酒店,"感觉挺好的,可以去尝试一下。总的来说还不错,各方面都还是令人满意的",正向,
498,天天宾馆(哈尔滨医大一院店),"一如既往的好,五星好评,希望不要骄傲。非常贴心,为服务好评",正向,
499,凯旋时代公馆(东北林业大学乐松广场店),"干净整洁无异味,老板态度好。设施齐全,尤其年轻的服务员服务特别周到",正向,
500,哈尔滨鑫金爵宾馆,"卫生好,离高铁站非常近,周边饭店比较多。酒店非常不错,各方面服务都细致周到",正向,
501,华庭酒店(哈尔滨机场巴士店),"酒店位置比较好找的。房间挺干净的,暖气足有点太热了",负向,
502,如家精选酒店(哈尔滨三大动力哈锅店),"房间干净,服务热情。服务很满意,房间干净",正向,
503,哈尔滨香悦时尚快捷宾馆,"交通便利,设施齐全,服务态度很好。安全卫生,交通便利,设施齐全",正向,
504,鸿运旅馆(哈尔滨志华商城店),"服务也很好,靠近利民大道和家得乐商城。房间非常干净,住的非常满意",正向,
505,锦尚宾馆(哈尔滨林业大学店),"床单发黄,总体感觉一般,读书没有办法。整体感觉挺好的,服务热情",中性,
506,哈尔滨四季星辰商务酒店,服务非常好。服务非常好,正向,
507,哈尔滨华瑞宾馆(四野广场店),"酒店非常不错,各方面服务都细致周到。房间很干净,方便快捷",正向,
508,哈尔滨主角小宾馆,"老板人很好,服务周到",正向,
509,哈尔滨龙润快捷宾馆,"十块钱住带空调的宾馆,想不到吧",负向,
510,哈尔滨云舒宾馆(中央大街索菲亚教堂店),没有任何问题。酒店老板人超好,中性,
511,万达怡人居酒店(哈尔滨融创乐园冰雪大世界店),"商家真的特别好,帮我升级了房型。前台2位服务人员热情周到,态度和蔼可亲",正向,
512,和颐酒店(哈尔滨宣化街店),"前台姑娘小王特别热心,服务态度非常好。床很软,我们是从云南过来的,以为会很冷",中性,
513,检顺商务酒店(哈尔滨长江路会展中心店),"装修也非常大气有品位,一次性用品非常全。非常好,临街一点声音都没有",中性,
514,迦南宾馆(哈尔滨西站工农大街地铁站店),优越的地理位置:酒店交通便利。很好很舒服服务态度好打扫的很干净,正向,
515,四季时尚酒店(哈尔滨哈西万达广场西客站店),"这是一家非常不错的酒店,房间宽敞明亮。房间宽敞明亮卫生很干净暖气很暖和",正向,
516,哈尔滨钱柜快捷宾馆(黑龙江中医药大学附属第一医院店),"店主还是很热情的。酒店设施齐全,房间干净整洁,住的很舒服",正向,
517,颐居宾馆(学府路医大二院店),"卫生很好,前台太度很好。干净卫生,关键老板还非常热情",正向,
518,今巢家庭公寓(哈尔滨哈西店),"房间很好。卫生也不错,酒店环境整洁,价格",正向,
519,哈尔滨逸家青年公寓,"总的来说还可以就是垃圾好象走了一起收。有自己家的感觉,哈哈哈哈,忘记拍照了",中性,
520,哈尔滨万豪商务宾馆,"环境非常好,服务态度好。服务热情态度好",正向,
521,哈尔滨阳光假日酒店,"房间隔音做的也挺好睡觉不吵。前台服务人员热情,考试入住的最佳选择",中性,
522,哈尔滨冰城印象商务宾馆,卫生很干净服务态度很好离哪里都很近。宾馆整体环境很干净整洁,正向,
523,哈尔滨鑫禧龙快捷宾馆(双城区政府店),"总的来说还不错,各方面都还是令人满意的。房间挺干净,服务员态度也好,位置市中心",正向,
524,哈尔滨鑫宇宾馆,"满意,挺好的,可以来入住哦",正向,
525,宏福宾馆(哈尔滨太平国际机场店),"接送机服务很好,司机很热情",正向,
526,滨河宾馆(哈尔滨医科大学附属第一医院店),"位置交通。距离地铁口很近,交通很方便",正向,
527,哈尔滨景怡酒店,"床单被褥都很干净漂亮,隔音也很好。居然不是一个屋里一个,我住那屋里没有",负向,
528,艾美酒店(哈尔滨中央大街步行街店),"酒店干净整洁,环境很好的。酒店位置很好找,卫生也很干净",正向,
529,铂睿酒店(哈尔滨万达城店),"挺好的,房间挺大,干净卫生,交通方便。离融创乐园特别近,还给升级了房型",正向,
530,哈尔滨相遇主题宾馆,"住的很舒服,离医院地铁都很近,交通方便",正向,
531,亚布力国际会展中心,"总体不错,服务态度好",正向,
532,如家酒店(哈尔滨凯德广场学府路地铁站店),"很好找,晚上很安静。服务态度特别好,地理位置优越",正向,
533,哈尔滨友源宾馆,"没有异味,干净,前台服务也很好。服务好",中性,
534,哈尔滨桃源大厦,"非常舒服满意,下次还会光顾",正向,
535,雪谷丽荣家客栈,"总的来说还不错,各方面都还是令人满意的。老板娘做饭好吃,价格实惠",正向,
536,哈尔滨万达文华酒店,"服务热情礼貌周到,令人感觉如沐春风。可能赶上节假日,现煮摊位排队时间太长",正向,
537,大华精品宾馆(哈尔滨会展中心店),"临时住两晚,总体还行吧。非常好,便宜空间大,环境干净",正向,
538,哈尔滨盛世悦合商务宾馆(中央大街店),"各方面都很好。服务态度好,下次还会去",正向,
539,7天酒店(哈尔滨医大一院店),"总体干净卫生,用品是一次性的。后半夜找的酒店,7天连锁的,比较信任",负向,
540,汉庭酒店(哈尔滨哈东万达广场店),"味道特别好,这个细节真的很戳我。房间整洁,服务特别好,早餐样式多",正向,
541,融华宾馆(哈尔滨中央大街索菲亚教堂店),"和孩子住的挺好,周边离中央大街很近。体验感非常好,价格是实惠",正向,
542,哈尔滨我行我宿快捷宾馆,"交通方便,卫生干净,满意的一次体验",正向,
543,知道商务公寓(音乐公园群力远大店),"总的来说还不错,各方面都还是令人满意的",正向,
544,哈尔滨万达公寓(西客站店),"房间住着很舒服,交通也很方便。老板人热情周到,总之10086个赞",正向,
545,哈尔滨冰城假日宾馆(工程大学百盛商场店),"主要卫生特别好,周边环境很清净。前台姐姐人特别好,有求必应",正向,
546,雪谷主题宾馆,"这家店其实最让我惊喜的是服务。房间打扫干净,空间很大超级喜欢这家酒店",中性,
547,哈尔滨辛胜快捷宾馆,非常好。❤这家酒店是我本次出行住过的最好的酒店,中性,
548,君沐禧洗浴宾馆(黑龙江科技大学店),"最近在装修,我们去还专门腾个车位。卫生,服务都很好",中性,
549,哈尔滨宝航宾馆(太平国际机场店),"卫生间的玻璃有点脏的,其它很好",负向,
550,家和宾馆(哈尔滨学府店),"首先位置特别好,离哈医大二院很近。服务很好,环境还不错,出行蛮方便的",正向,
551,宜家精品宾馆(哈尔滨中华巴洛克风情街店),"总的来说还不错,各方面都还是令人满意的。酒店非常不错,各方面服务都细致周到",正向,
552,哈尔滨漫斯特电竞酒店,"挺好的电竞房,屋内设施齐全。电脑配置也不错,很好的一次体验",正向,
553,哈尔滨紫丁香公寓,"体验感不错很好哦超级喜欢这家酒店。便宜没好货,我都惊呆了",正向,
554,哈尔滨柏悦假日酒店(国际会展中心五十九中店),"在香坊区算是最好的一家电梯酒店了。前台小姐姐很热情,解答问题也细心",正向,
555,卓越精品酒店(哈尔滨会展中心店),"干净,整洁,床不错,下次还会入住。挺好的,离办事地点近",正向,
556,哈尔滨马迭尔民防商务酒店(红博中央公园会展中心地铁站店),"酒店环境很好卫生干净出行方便。服务周到,交通方便,尔滨真棒👍🏻",正向,
557,五常凤凰山凤仙源宾馆,"厨房手艺也不错,花卷果然很好吃😋可选。酒店很干净,老板人美心善💓菜做也吃",正向,
558,百联公寓(哈尔滨松北商大店),楼层高空气好干净卫生,中性,
559,尚志亚布力爱尚雪农家院,"雪景太美了,房间很棒干净,火炕暖暖的。房间宽敞明亮,布置的很温馨,环境优美",正向,
560,五常五福宾馆,"有停车场,早餐赞,推荐入住。环境不错,早餐丰富",正向,
561,哈尔滨群力远大怡家商务酒店式公寓,很好~值得比较舒服~性价比高。住的特别舒服,正向,
562,尚志鼎泰酒店,"整体位置不错,有独立的停车场。卫生很好,地毯和智能坐便都是崭新的",正向,
563,哈尔滨学府公寓,"老板娘人好,是个好地方",正向,
564,哈尔滨锦悦假日酒店,"总之很好吧,美中不足有些许烟味。必须要给个好评特别好啊,干净",正向,
565,哈尔滨龙门贵宾楼酒店,让住客感觉穿越了时空。强烈来哈尔滨住这里,中性,
566,亚布力迷你的木屋度假别墅,"房间特别干净,房主王叔叔人特别热情。非常好的体验房东叔叔阿姨很nice",正向,
567,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),"老板太热情了,帮忙提行李上楼",负向,
568,亚布力滑雪木屋别墅,"老板人特别好,住宿的地方也比较干净卫生。最后去高铁站也帮忙安排车",负向,
569,亚布力滑雪场双赢农家院,"感冒了还会给我们找感冒药。老板很热情,热炕暖暖的给老板赞",正向,
570,悠融酒店(哈尔滨会展中心店),"🌳环境挺好的,干干净净。服务非常好点赞酒店太棒了",正向,
571,哈尔滨天煜公寓,很不错。对他家非常的满意住很多次了,正向,
572,哈尔滨8零时尚宾馆,新装修的房子主要是人特别好服务可以。挺好的服务新装修的啊,正向,
573,鑫曦格酒店(国际会展中心万达广场店),"性价比很高,学生党也可以入,地理位置好。空气流通,性价比超高,位置也很好",正向,
574,雪谷牤牛河驿站,"干净整洁是首选。老板都很热情,虽然不是雪谷最热闹的一段",正向,
575,璐豪时尚宾馆(哈尔滨火车站中央大街店),"酒店周围感觉吃饭挺方便的。博物馆等景点步行可达,老板夫妇很好沟通",正向,
576,哈尔滨浪漫樱花假日公寓,"老板很热心的介绍景点,房间条件也都很好",正向,
577,哈尔滨汉廷商务公寓,"给我营造了一种家的感觉。老板人很好很热情,房间挺干净",正向,
578,哈尔滨冰都时尚快捷宾馆,"哈尔滨是个非常漂亮的城市。哈尔滨是我一个非常喜欢的城市,我很",正向,
579,哈尔滨悦途酒店式公寓(哈西万达广场店),"对面是红场,房间暖和,体验不错。位置交通",正向,
580,依兰时代商务酒店,"干湿分离,很不错。服务态度很好,离依兰防洪纪念塔很近",正向,
581,宾县英杰温泉酒店,"里面出去宾州车特别少,打车贵。不枉费我期待这么久",中性,
582,哈尔滨龙江假日宾馆(中央大街店),"有小窗,价格亲民,卫生可以,有洗漱用品。入住体验非常好",负向,
583,润尚宾馆(哈尔滨工程大学店),住大路边交通方便价格合适性价比很高。服务都还不错,正向,
584,哈尔滨楠天宾馆(群力医大一院店),"地理位置也很棒,去江南和江北都不会太远",正向,
585,和颐酒店(哈尔滨民航大厦省政府店),"酒店房间很现代化,配套设施很好。不算特别市中心但是地铁打车都很方便",正向,
586,琴与炉假日酒店(哈尔滨道外公路客运站透笼商厦店),服务很好。服务态度特别好,正向,
587,哈尔滨宏南宾馆,"环境很好,干净卫生,服务很好。环境不错",正向,
588,五叶草精品酒店(哈尔滨哈西万达广场店),"装修细节做的很好,服务人员态度也不错",正向,
589,泊辰宾馆(哈尔滨太平国际机场店),"车接车送,老板很负责,居住环境很温馨。老板很热情",正向,
590,尚志春天国际酒店,"酒店位置超级好,下高速进市区2分钟即到。服务态度超级好",负向,
591,恒河春天假日酒店(道外中华巴洛克店),"性价比高,房间大,卫生一般,有停车位。服务特别好房间也很棒看过点评才订的",正向,
592,印象假日宾馆(哈尔滨哈西万达广场西客站店),"前台人很好。前台态度很好,房间也还行",中性,
593,哈尔滨祥云雅致时尚宾馆,"性价比高,位置好。不错,挺好的一次住宿经历",正向,
594,芭乐宾馆(肿瘤医院店),"很好,环境不错,价钱便宜。好评,好评,好评,好评",正向,
595,哈尔滨双城瑞宝宾馆,想要好好休息的可以来这里。好简单大气上档次舒服,正向,
596,方正龙跃宾馆,"唯一不太满意的是供暖不太好。房间宽敞明亮干净,餐厅餐食也很好",中性,
597,哈特商务酒店(哈尔滨工业大学店),"地面很干净,光线很好。性价比非常高,周围环境安静",正向,
598,国煤宾馆(哈尔滨吉林街店),"下水反味,屋子里不太暖和,卫生间狭小。干净卫生,特别这次带病人检查等结果",负向,
599,麗枫酒店(哈尔滨南直路会展中心店),"位置离2号地铁800米,早餐很不错。设施很好,住的很舒服",正向,
600,全顺宾馆(哈尔滨太平国际机场店),"环境超好,老板热情,下次还会回顾。酒店太棒了,超过了我的想象",正向,
601,哈尔滨伊锦酒店,"一直都住伊锦很安静,孩子睡的很好。很不错,停车方便,洗浴搓澡不排队",中性,
602,鼎今快捷宾馆(哈尔滨火车站店),"老板们超级热情,人超好。不足的是电视看不了,遥控器压根按不动",负向,
603,虹成快捷旅馆,"位置交通。离各个景点都挺方便,那个叔叔也很热情",正向,
604,哈尔滨时尚快捷宾馆(萧红故居店),属于装修和环境最好的了。非常干净都是新的下次还会来,正向,
605,芭乐商务宾馆(哈尔滨哈西万达广场西客站店),房间性价比很高。是我在哈市住过性价比最高的宾馆,正向,
606,百茂心宾馆(哈尔滨亚麻街店),"整体环境特别好,房间真的特别干净。位置交通",正向,
607,哈尔滨金旭时尚宾馆,感觉自己睡得还不错,正向,
608,哈尔滨呼兰宝帝精品宾馆,"房间不大,但卫生和服务都挺好。干净整洁,方便实惠",正向,
609,哈尔滨国煤快捷宾馆,"位置不错,周边配套很方便,房间小了点。好评,位置好,卫生干净,服务态度好",正向,
610,哈尔滨泊客弯宾馆,"店主特别的好,服务到位,满意的一次体验",正向,
611,玉龙快捷宾馆(哈尔滨秋林医大一院店),"是那种比较久了的店。房间卫生很干净,没有异味",负向,
612,哈尔滨大象假日宾馆(中央大街店),"太阳岛座地铁就2站,吃饭楼下很多。位置很好,来哈尔滨旅游",正向,
613,哈尔滨依侬时尚宾馆,"总体比较满意,离中央大街特别近。换最凉快房间的想法不现实了",正向,
614,轻住酒店·果然精品(乐松机场巴士凯旋广场店),"高层风景和采光很好,空调给力。林大很近,附近吃喝玩乐都有,公寓式",正向,
615,亚布力映山公寓,"这个季节,这个价格很美丽,住的标间。洗浴设备不错,有基本的日用洗漱用品提供",负向,
616,亚布力怡然之家宾馆,"到亚布力西站之后,已经很晚了。环境很好很干净",正向,
617,哈尔滨哈西鸿运酒店式公寓,"酒店非常不错,各方面服务都细致周到",正向,
618,哈尔滨慕尚假日酒店(会展中心省医院店),"酒店环境很好,配置齐全,安静。服务热情,环境不错,下次还住",正向,
619,哈尔滨枫林假日宾馆(江北大学城学院路店),"卫生干净,交通方便,服务周到。❤酒店非常不错,各方面服务都细致周到",正向,
620,斯维登度假公寓(哈尔滨群力大道银泰城店),"房间大,干净,安静,楼下好多好吃的。前台服务还不错",正向,
621,莫泰酒店(哈尔滨中央大街索菲亚教堂透笼商厦店),"性价比超高,酒店服务人员的态度也很棒。交通非常方便",正向,
622,哈尔滨红硕园宾馆,"特别方便,附近不远有衣帽城、洗浴中心。卫生很干净,服务也很好很热情,价格实惠",正向,
623,宜必思酒店(哈尔滨中央大街火车站店),"去景点公交车很方便,对面还有品牌熟食店。不知道为什么感觉窗户外面的空调机一直吵",负向,
624,铁一招待所(哈尔滨火车站店),"被套干净整洁,枕头上的毛巾被有家的感觉",正向,
625,香醍45°假日酒店(哈尔滨西站哈西万达广场店),"城堡的感觉,满足少女心,卫生条件还好。卫生条件好,服务周到,位置交通方便",正向,
626,哈尔滨老周宾馆(医大二院店),"顿时心里温暖很多,阿姨也很热情。老板人很好",正向,
627,哈尔滨尚居公寓(国际会展中心店),"酒店干净卫生,阿姨人也很好。安全卫生大气老板人很好",正向,
628,喜洋洋快捷宾馆(哈尔滨工大店),"环境也很不错性价比很高,去哪都方便。老板人很热情",正向,
629,哈尔滨芒果酒店式公寓,"很不错价格便宜环境舒适。住了两天,房子很大,宽敞干净",正向,
630,亚布力关东客栈,"老板娘很热情有早餐,停车也方便。带早餐,干净卫生,服务也好",正向,
631,哈尔滨楠天汇龙宾馆,"性价比很高的酒店,距离地铁站距离适中。对于像我这样喜欢净的人反正入住体验很好",正向,
632,哈尔滨超感觉主题宾馆,"地理位置非常棒,门口就是地铁站。这个价格,就是不好停车",正向,
633,龙江高升客栈(雪谷二店),要不是满分只有五分我能给五万分。晚上休息的特别好,负向,
634,金芒果假日宾馆(哈尔滨中山路店),"酒店位置很方便。酒店位置很方便,设施健全,干净整洁",正向,
635,壹品新境连锁公寓(哈尔滨哈西客站店),"房间还是挺大的,有种回家的感觉",正向,
636,哈尔滨拉雅宾馆,非常好。在呼兰这个价格的房子就算不错了,正向,
637,爱情公寓(哈尔滨万达城店),"空间很大,设施齐全,服务很棒。非常不错,值得入住,老板娘人好",正向,
638,哈尔滨好佳电竞观影酒店,整体体验很不错,正向,
639,艾欧轻奢酒店(哈尔滨巴洛克承德广场店),"整体不错,干净卫生,环境舒适。很好,卫生好,服务好",正向,
640,哈尔滨瑞隆宾馆,"非常满意的入住,感恩感谢全体成员。一般搬",正向,
641,如家驿居酒店(哈尔滨会展中心衡山路万达广场店),"总的来说还不错,各方面都还是令人满意的。交通便利,房间干净",正向,
642,哈尔滨德力快捷宾馆,"老板娘特别热情房间也很整洁推荐推荐嘿嘿。老板娘对卫生要求很高,值得入住",正向,
643,尚志弘旭主题宾馆,"这俩酒店不错干净卫生住着舒服。就是停车不太方便,楼下就有水饺粥铺",负向,
644,白金汉假日酒店(会展中心店),"安全,卫生,早餐种类较多,口感有待提高",负向,
645,哈尔滨玫瑰之约快捷旅店,"经济实惠,非常不错,第二次住了,推荐",正向,
646,雪谷阳阳客栈,店家人很好,正向,
647,哈尔滨宇彤宾馆(太平国际机场店),"总的来说还不错,各方面都还是令人满意的。有家的感觉",正向,
648,碧海娇龙商务宾馆(哈尔滨中央大街店),"灯光明亮,但是地毯不太干净,有污渍。房间很大,设施也都可以正常使用",负向,
649,依兰锦江商务酒店,"而且距离景点很近,出行非常方便。整体感觉不错,房间宽敞舒适",正向,
650,锦江之星风尚(哈尔滨中央大街友谊东路店),"干净卫生,想说要一个采光好的。服务态度很好",中性,
651,雪谷金和家庭旅馆,"新房子特别暖和,推荐。酒店非常不错,各方面服务都细致周到",正向,
652,隆逸大酒店(哈尔滨承德广场巴洛克店),"酒店地理位置很不错,对面就是公路客运站。地理位置很好,交通也很方便",正向,
653,雪谷小康家庭旅馆,"很满意阿,店家还会给你安排泼水成冰。老板有求必应,教玩泼水成冰很有一套",正向,
654,苹果假日酒店(哈尔滨江北湿地公园店),"床很舒服,环境一般",正向,
655,哈尔滨金苹果快捷宾馆,"总的来说还不错,各方面都还是令人满意的。前台小哥非常棒,热情礼貌",正向,
656,亚布力寒舍客栈,"很棒的一次大炕体验。老板人很好,帮我们避开了很多坑",正向,
657,哈尔滨宝地快捷宾馆,"最主要出门就是地铁口。最后,差旅在外当然是安静的睡个好觉",负向,
658,哈尔滨时尚港快捷宾馆,"非常满意,对面就是客运站,出门就是街面。价格划算#房间很大#位置繁华#服务赞",正向,
659,通河东兴假日宾馆,"离商业街很近,离一中也不远。位置好,服务特别好,房间很暖和",正向,
660,佳偶宾馆,"交通很方便,离地铁站也就一条街的距离。老板人也很好",正向,
661,哈尔滨福裕商务酒店(万达广场龙塔店),酒店特别好超出预期。二是服务态度有够好、三是早餐丰富,中性,
662,好易家快捷宾馆(哈尔滨三辅街店),经常过来住卫生服务都不错的推荐来。不错在这炎热的夏天有一个安逸的睡眠,正向,
663,如家精选酒店(哈尔滨林业大学文昌街店),"服务非常好,推荐入住,有机器人。服务非常好,前台干净卫生",负向,
664,哈尔滨八荒通神美术馆酒店,"环境在周边酒店中是最好的,服务也很好。有间美术馆在里面的宾馆,整体还不错",正向,
665,香橙假日酒店(哈尔滨儿童公园店),"非常值得推荐,房间没有任何异味",负向,
666,尚志美家嘉华酒店,"总的来说还不错,各方面都还是令人满意的。挺好的,安静,服务也好",正向,
667,哈尔滨万顺宾馆,"卫生干净,安静,很好一家宾馆。卫生干净酒店太棒了,超过了我的想象",正向,
668,哈尔滨博发假日酒店,"第一次入住这家酒店,整体体验很不错。入住押金程序有点繁琐,房间热水有点太慢",负向,
669,哈尔滨左岸宾馆(江北师大学院路店),"总的来说还不错,各方面都还是令人满意的。老板服务很好,房间干净整洁",正向,
670,哈尔滨润丰快捷宾馆(龙塔国际会展中心店),"很便宜,交通不错",正向,
671,亚布力雪韵阁农家院,"老板家的饭也很好吃,这里的人很实在",中性,
672,亚布力雪杉酒店,性价比很高。性价比很高的酒店每次来都住这里,正向,
673,亚布力千喜商务宾馆,"服务非常热情。酒店很不错,干净卫生,室内宽敞",正向,
674,哈尔滨宾悦酒店,"态度特别好。房间明亮,服务热情,很棒,门口就是地铁",正向,
675,哈尔滨亲亲宝贝日租公寓,性价比很高,正向,
676,哈尔滨平安商务酒店,"客房干净服务态度好。整体还算可以,比较老装修,早餐不错",正向,
677,汉庭酒店(哈尔滨鸿翔路店),"服务很好,早餐很棒,客房卫生很好。晚上回来有点感冒还喝了驱寒茶,特别棒",正向,
678,哈尔滨小洋房公寓,最终选择了中央大街的这个俄式洋房小公寓。装修是俄罗斯的感觉,正向,
679,天龙快捷宾馆(哈尔滨学院路店),"就是隔音不是太好,旁边有ktv还是啥。老板人也很好",负向,
680,苹果假日酒店(哈尔滨海城市场店),服务好房间干净整洁,正向,
681,尚客优酒店(哈尔滨中央大街儿童医院店),"距离儿童医院很近,老板服务态度很好。老板态度很好,有问题主动给解决",正向,
682,江湾大酒店(哈尔滨中央大街防洪纪念塔店),"没有使我失望,位置好,服务好,价格合适。看得见江水、太阳岛的树林、远处的楼",正向,
683,五常富丽盛豪宾馆,"干净整洁,服务非常好。服务一般收取押金没有免费的水",中性,
684,宏凯商务连锁宾馆(哈尔滨巴洛克店),"离酒蒙子一条街特别近,吃烧烤太方便",负向,
685,哈尔滨晟恒公寓,"房间宽敞明亮,很舒适",正向,
686,哈尔滨丽景花园酒店(中央大街店),"干净卫生舒适,很不错哦,值得信赖。房间宽敞,干净",正向,
687,雪谷冰雪之约客栈,"客栈老板老板娘人很好,房间很干净。干净整洁~服务:老板和老板娘都很热情",正向,
688,水云涧青年旅舍(哈尔滨中央大街店),"第一次入住这家酒店,整体体验很不错。哈尔滨最物超所值的住处,经济实惠",正向,
689,雪谷雪姑娘客栈,"住的还很舒服,红艳艳的大花炕。铁树银花也玩了,铁锅炖也吃了份量很大",正向,
690,哈尔滨天悦时尚快捷宾馆,"老板很热情,服务态度非常好。第一次入住这家酒店,整体体验很不错",正向,
691,哈尔滨君逸酒店,"酒店里的圣诞装饰很温馨。小红服务好,很满意,会再来的,满意",正向,
692,哈尔滨爱浓新概念旅馆,"屋里的地暖嘎嘎暖和,老板人特别好,热情。环境特别干净,周边也很便利",正向,
693,哈尔滨金安商务宾馆,性价比很高的酒店房间非常干净热情服务。很好很好很好环境干净空间大,正向,
694,哈尔滨尚美宾馆,"老板特别热情,服务好,屋里也暖和",中性,
695,哈尔滨春秋宾馆,"这家宾馆的服务非常好,很贴心。酒店不错,交通便利,屋里干净,明亮",正向,
696,哈尔滨文化用品招待所,离火车站很近。没有独卫的小旅店不知高到哪里去了,中性,
697,金岛快捷宾馆,"宾馆很不错。中央大街,太阳岛交通便利,附近饭店多",正向,
698,亚布力沁园春别墅,"房间还不错,性价比高。老板夫妻非常细心体贴,让我感觉不是住店",正向,
699,雪谷小方客栈,"房东的热情,卫生也很干净,性价比很高。房间很干净,性价比很高,相当的满意",正向,
700,哈尔滨兰卡精致酒店,"房间非常干净整洁,服务态度好。最重要的是干净,早餐很好吃",正向,
701,哈尔滨鹤岗宾馆,"酒店太棒了,超过了我的想象。热水也供应的很好",中性,
702,哈尔滨大自然快捷宾馆(农业大学店),"整体环境特别好房间卫生打扫的干干净净。农大附近挺不错的宾馆,门前停车方便",正向,
703,哈尔滨家佳精品宾馆(剑桥学院店),老板娘很好,正向,
704,五常凤凰山假日酒店,老板小帅哥人特别好。老板小帅哥人特别好,正向,
705,五常灰鲸电竞酒店,"前台服务态度不好,需要再次培训。服务态度好",负向,
706,五常月星主题宾馆,"因为性价比非常高,每次来都会有新的惊喜。前台很热情",正向,
707,乐居快捷宾馆(医大三院店),"蛮安静的不错,服务态度很好。干净卫生,离肿瘤医院很近",正向,
708,哈尔滨乐宝时尚宾馆,"房间不错,很舒服,空间很大。第一次入住这家酒店,整体体验很不错",正向,
709,哈尔滨天汇旅馆,"服务态度好,非常非常好",中性,
710,温馨旅馆(哈尔滨学院路农垦店),老板亲切随和人很好。像家一样住着特别温馨,正向,
711,亚布力付家大院酒店,帅气的老板大哥人很好,正向,
712,途径银泰精品公寓(哈尔滨群力银泰城店),"整体体验很不错。位置很方便,卫生也挺好,洗手间很大",正向,
713,雪黎酒店(哈尔滨高铁西站万达广场店),"服务超级贴心,特别好评。服务非常好哦,备注了自己需要的房型",正向,
714,哈尔滨儒家商务宾馆,"周边交通方便,购物方便,商委红肠店旁边。前台很热情,服务很好",正向,
715,麦田主题宾馆(哈尔滨江北大学城店),"价格飞涨,服务一般,位置还好,设施一般",正向,
716,神农宾馆(哈尔滨花园街店),"店家服务热情贴心,很满意的住宿体验。还不错",正向,
717,哈尔滨茹佳假日宾馆,其他的都很好,正向,
718,哈尔滨鑫铁旅店,"老板人很好态度热情热心。老板人很好,服务态度棒棒的",正向,
719,凤凰山百悦山庄,"很满意的一次入住,阿姨很热情。非常好,环境舒适,服务态度好,价格实惠",正向,
720,汉庭酒店(哈尔滨江北大学城地铁站店),"房间很大,地理位置很好,下次还会选这里。别的都还好",正向,
721,亚布力滑雪场聚客缘山庄,"老板人很好很热情,位置离雪场也近。老板很热情的帮我拿行李,环境很安静",正向,
722,VIP会所(哈尔滨凯德广场店),"交通方便,和公寓形式差不多",正向,
723,禧龙时钟旅馆(哈尔滨新发小区店),"价格合适,这个价格也不求别的了。性价比高,有的房间不能洗澡,其他还不错",正向,
724,哈尔滨天元假日酒店,比较干净。还不错挺好的红红火火就斤斤计较斤斤计较,正向,
725,哈尔滨心悦宾馆,"房间温暖干净,阿姨人也很好。老板挺好的,很热心",正向,
726,爱建非常男女103公寓(哈尔滨公路大桥店),特别好,正向,
727,旭航宾馆(哈尔滨太平国际机场店),"服务很好,有接机送机服务。接机送机很方便,周转飞机可以选择入住",正向,
728,联馨快捷宾馆(哈尔滨中央大街儿童医院店),"老板人挺好环境也好,干净性价比高。总的来说还不错,各方面都还是令人满意的",正向,
729,天洋宾馆(哈尔滨会展中心店),"房间设施很不错,性价比高",正向,
730,哈尔滨兄弟时钟宾馆,"入住体验非常好。房间大小刚好,隔音效果还不错",正向,
731,哈尔滨金京大厦宾馆(阿城客运站店),"崽崽很喜欢,服务态度很好。孩子很喜欢,环境很不错,推荐",正向,
732,哈尔滨茹家商务公寓,"整体不错。卫生干净整洁,床褥舒服,很赞",正向,
733,如家酒店·neo(依兰县政府亿达广场通江路店),服务态度很好房间干净整洁。很好带孩子一起的、路过依兰在这住了一晚,正向,
734,哈尔滨水泡泡时尚宾馆,房间整洁还蛮不错,正向,
735,哈尔滨晶鑫公寓,"环境不错,睡觉安静",正向,
736,白领公寓(哈尔滨爱建店),"老板娘很漂亮,房间很大,服务很好",正向,
737,方正港湾大酒店,"整体来说还是比较不错的,性价比也很高。对于本次入住,必须要给个好评",正向,
738,哈尔滨晨光宾馆,"价格实惠,很不错的一家酒店。老板人好,温柔,热心肠",正向,
739,金岗之星优选酒店(哈西北大荒集团总医院农业工程学院店),"卫生非常好都住好几天了,服务好。工作人员服务特别好,干净整洁",正向,
